cur_lock_id,lock_name,corridor,beta_q_pos,beta_nq_pos,throughflow_index,mean_stress_index,PI_l,lock_name_obs,corridor_obs,n_events,mean_next_wait1,p90_next_wait1,p95_next_wait1,high_wait_share,mean_queue_pressure,p90_queue_pressure,extreme_queue_share,high_queue_share,p90_spillover_queue,high_spillover_queue_share,mean_empty_share,high_empty_share,extreme_empty_share,low_eff_current_share,low_eff_next_share,state4_next_share,queue_sensitivity,structural_sensitivity,queue_exposure,structural_exposure,queue_risk_score,structural_risk_score,queue_rank,structural_rank
30,杨庄,盐河—连申—出海网络,0.3548012803322189,0.1403010902455785,0.6772863320093105,0.0003218234741916,4.460712302268966e-05,L30,盐河—连申—出海网络,3154,5.592618280138096,12.96177777777778,14.921388888888888,0.012999365884590995,42.63253012048193,69.0,0.0,0.0,42.69521276595744,0.0,0.5653594010382056,0.4514901712111604,0.2618896639188332,0.5443880786303107,0.6642358909321496,0.12840837032339886,0.2797262138018948,0.23682617578456672,0.10867062785086082,0.5188433129103057,0.030398023280196033,0.12287567762794302,20,12
45,淮安,京杭主通道,0.1550772220371328,0.054013183658612,1.0,0.1715106043383414,0.0144639000612784,L45,京杭主通道,11345,8.90937316977621,18.194944444444445,23.212555555555554,0.07977082415160863,163.91502864698106,213.0,0.015160863816659322,0.13953283384750992,89.27737356587951,0.0,0.27999698837246434,0.026884089907448214,0.0,0.2500661084178052,0.2745702952842662,0.10163067430586162,0.11970480860465052,0.09949200092894638,0.25341208547882377,0.21566559610538305,0.030334645190347936,0.021457001688058544,21,33
27,阜宁,盐河—连申—出海网络,0.2968349690593426,0.0401820590084018,0.1361979319333177,0.0,0.0,L27,盐河—连申—出海网络,368,8.081536835748793,19.056638888888887,39.89833333333333,0.09782608695652174,4.1521739130434785,10.0,0.0,0.0,29.837500000000013,0.0,0.5263339920948616,0.45108695652173914,0.44021739130434784,0.5054347826086957,0.5679347826086957,0.10597826086956522,0.20700645054151331,0.15567586853132517,0.1435156071089743,0.47265212246348265,0.029708656424939143,0.07358052967767693,22,19
6,谏壁,京杭主通道,0.0916811301308039,0.0,0.8269102000494225,0.3717923570679581,0.0084559035293157,L6,京杭主通道,5710,13.372345397937341,40.17400000000004,48.28365277777778,0.23327495621716288,258.961646234676,382.0,0.43345008756567427,0.7339754816112084,75.20456263969396,0.0,0.5474843568299632,0.30035026269702275,0.07425569176882663,0.5385288966725044,0.4071803852889667,0.16339754816112084,0.05959273458502253,0.04125650855886175,0.4750706846191154,0.40779533341989704,0.02831076121763189,0.016824211663501863,23,34
40,新沂河,淮河—徐宿西北网络,0.3089169158714242,0.0587115993705953,0.5682053695367028,0.0,0.0,L40,淮河—徐宿西北网络,2046,6.942516563484306,16.283333333333335,20.391111111111112,0.053763440860215055,25.72238514173998,43.0,0.0,0.0,26.00645822655049,0.0,0.5220466646419726,0.40860215053763443,0.22580645161290322,0.49902248289345064,0.5175953079178885,0.198435972629521,0.2213450550961341,0.17130399179596834,0.1193530506729884,0.5090556797941442,0.026418207577104304,0.08720326999514717,24,18
36,沙集,淮河—徐宿西北网络,0.6445331129044352,0.2464325422821418,0.0,0.0,0.0,L36,淮河—徐宿西北网络,214,3.8735812564901346,15.743750000000004,16.962777777777777,0.0,3.2850467289719627,11.0,0.0,0.0,2.0,0.0,0.5909657320872274,0.48598130841121495,0.48598130841121495,0.5887850467289719,0.8644859813084113,0.1308411214953271,0.5051979131866324,0.4255777990621738,0.045880163078458394,0.6164759228323319,0.023178562643899562,0.2623584664138063,25,4
47,泗阳,京杭主通道,0.1924622951041203,0.1313538161085219,0.9325228133587394,0.0365791615071109,0.0051059368397695,L47,京杭主通道,8681,5.639687919978496,11.547777777777778,14.349444444444444,0.009445916369081903,56.33106784932612,80.0,0.0,0.0,81.93162393162393,0.0,0.5223808446515841,0.2878700610528741,0.056560304112429446,0.49268517451906463,0.5088123488077411,0.1563183964980993,0.17107432745566087,0.15885263165654118,0.1324984989406363,0.4198450836506996,0.02266709159515395,0.0666934964259743,26,21
28,刘庄,盐河—连申—出海网络,0.4836581428108826,0.2404800539979606,0.6267505056218885,0.0,0.0,L28,盐河—连申—出海网络,2581,3.592662081880408,8.220555555555556,11.008055555555556,0.005036807438977141,19.49360712901976,38.0,0.0,0.0,4.0,0.0,0.4010553497342406,0.11313444401394808,0.02828361100348702,0.40836884928322353,0.27896164277411856,0.05966679581557536,0.3985458117263599,0.34991019396377554,0.05474118520803435,0.1767471934601465,0.021816870093599054,0.06184564474619282,27,24
46,淮阴,京杭主通道,0.2087817463762455,0.0,0.922721805762094,0.1355745429363216,0.0078354278090025,L46,京杭主通道,8350,5.8239091151031275,11.84575,14.109430555555546,0.011736526946107785,66.71101796407186,94.0,0.0,0.0,140.96403541336213,0.014610778443113773,0.3991072775242648,0.16059880239520957,0.025868263473053894,0.37305389221556884,0.404311377245509,0.07137724550898203,0.13570813514455957,0.09395178586931048,0.15968073906833885,0.26656160610688895,0.02166997531746928,0.025043938937933916,28,32
25,口岸,沿江口门群,0.1166123860934262,0.0,0.6514739381846915,0.0222295284089357,0.0005066327178781,L25,沿江口门群,2847,9.779577820707958,24.12277777777778,31.224305555555556,0.17140850017562345,70.50860554970144,131.0,0.0,0.0,28.554285714285783,0.0,0.48700932739793923,0.20583069898138392,0.07938180540920267,0.48296452406041446,0.29785739374780473,0.08008429926238145,0.07579805096072703,0.05247557374204179,0.24128687527445492,0.23922837836180028,0.01828907486820772,0.012553646409913724,29,37
39,盐灌,淮河—徐宿西北网络,0.4237741016517269,0.0909493002228513,0.1110703246333335,0.0,0.0,L39,淮河—徐宿西北网络,333,5.491005171838506,15.054499999999999,16.45422222222222,0.018018018018018018,7.393393393393393,16.0,0.0,0.0,10.5,0.0,0.44446351113017785,0.33633633633633636,0.2912912912912913,0.4264264264264264,0.1981981981981982,0.03903903903903904,0.3072854211516205,0.24072046086584534,0.05824521820486869,0.21202649248821198,0.01789790640615111,0.05103911498753108,30,27
38,蔺家坝,淮河—徐宿西北网络,0.1846502102238943,0.0525682350537189,0.6199206636353582,0.0001694535411197,9.684649259644283e-06,L38,淮河—徐宿西北网络,2512,5.81722896762208,13.580055555555555,15.33119444444444,0.009952229299363057,36.76950636942675,70.0,0.0,0.0,41.92453395223478,0.0,0.6358036792352842,0.4940286624203822,0.22611464968152867,0.5644904458598726,0.27906050955414013,0.10031847133757962,0.1384215189143329,0.11200512388029785,0.1079241357607889,0.35092183774962543,0.014939022799525073,0.03930504390944858,31,30
10,江阴,沿江口门群,0.0569424898683538,0.0,0.9713661385991692,0.313349065454826,0.0051995896640925,L10,沿江口门群,10127,11.412955794740133,22.797277777777776,43.91733333333329,0.15512985089365064,221.71571047694283,338.0,0.3473881702379777,0.5760837365458675,85.27489878542511,0.0,0.6652701388549586,0.5507060333761232,0.32605905006418484,0.6701886047200553,0.4710180705045917,0.12599980250814655,0.03701261841442997,0.02562412044075921,0.3794605340495406,0.51415662985172,0.014044827950111456,0.013174811408735325,32,35
15,九圩港,通扬—里下河网络,0.0488227889736141,0.0,0.8642664666127674,0.0813095577580563,0.0010292789737861,L15,通扬—里下河网络,6622,11.607179309708378,37.54602777777788,49.20106944444444,0.21881606765327696,91.68665055874358,236.90000000000055,0.08834189066747206,0.13273935366958622,79.94632152588555,0.0,0.48015899842959275,0.1641498036846874,0.020688613711869527,0.4885231048021746,0.38160676532769555,0.14723648444578677,0.031734812832849166,0.021970255038126343,0.4057982595605774,0.3254755591760691,0.01287793181505087,0.00715078104377502,33,42
35,成子河,淮河—徐宿西北网络,0.3495096965878385,0.1379786652716145,0.3822239787171984,0.0,0.0,L35,淮河—徐宿西北网络,978,4.78431947284708,9.084722222222222,12.97511111111111,0.007157464212678937,17.757668711656443,32.0,0.0,0.0,2.2222222222222223,0.0,0.7815478432042848,0.7351738241308794,0.6605316973415133,0.7852760736196319,0.941717791411043,0.14008179959100203,0.2754738356271601,0.2331676293639153,0.04653832555032654,0.7708150361583873,0.012820091043013918,0.17972911465911182,34,7
7,魏村,沿江口门群,0.0,0.0807714764951365,0.8509381076862425,0.6775483609363724,0.032598253596995,L7,沿江口门群,6281,10.72849373772754,30.10611111111111,45.87555555555556,0.1900971182932654,31.95573953192167,52.0,0.0,0.0,337.79264026402643,0.7946186912911957,0.054313271818543805,0.000955261900971183,0.000318420633657061,0.05620124184047126,0.39006527622989967,0.12020378920554052,0.02827001677329777,0.04442431207232508,0.4172269945130295,0.2873458975462399,0.011795014133155961,0.01276514382529651,35,36
32,高良涧,淮河—徐宿西北网络,0.0241405412651968,0.0948162099793336,0.6351064622899756,0.5121457523063373,0.0239440510133097,L32,淮河—徐宿西北网络,2668,7.085027173913044,15.162250000000009,17.487708333333334,0.023238380809595203,64.37331334332833,170.0,0.041979010494752625,0.06746626686656672,197.21773013871376,0.3879310344827586,0.26973270451807235,0.10007496251874062,0.020614692653673165,0.26874062968515744,0.23463268365817092,0.03298350824587706,0.04887702531514468,0.06301215905797204,0.23741111431071218,0.15603199104090734,0.011603949044261387,0.009831912637601721,36,41
37,刘集,淮河—徐宿西北网络,0.3586863277905286,0.2157726191179885,0.0034939727110064,0.0,0.0,L37,淮河—徐宿西北网络,217,4.6372119815668205,12.560222222222224,16.23694444444444,0.009216589861751152,2.6635944700460827,7.0,0.0,0.0,7.066666666666667,0.0,0.5787250384024577,0.5161290322580645,0.5023041474654378,0.5622119815668203,0.4055299539170507,0.08294930875576037,0.3086665297551396,0.2800837880206316,0.03678808556571853,0.41355704104802454,0.01135525070790548,0.11583062261933455,37,15
18,焦港,通扬—里下河网络,0.0948742521180418,0.0,0.7687735200342485,0.0167438827648724,0.0003663736326361,L18,通扬—里下河网络,4534,7.981811130716072,14.482583333333332,27.415458333333333,0.07123952359947067,60.45235994706661,122.0,0.0,0.008601676224084693,34.333333333333336,0.0,0.4114093425271157,0.09417732686369651,0.018526687251874726,0.41552712836347594,0.37847375385972654,0.0866784296426996,0.06166826387672718,0.04269341345311881,0.17809688357256348,0.24037615679928043,0.010982925611775602,0.010262478646503396,38,40
21,运东,通扬—里下河网络,0.0,0.2335196914259536,0.4623094679304985,0.3016403044813326,0.0227952157139542,L21,通扬—里下河网络,1344,8.727491526124338,19.044472222222222,20.720791666666663,0.08258928571428571,7.837797619047619,15.0,0.0,0.0,8.0,0.0,0.35265590477644054,0.1636904761904762,0.12276785714285714,0.33705357142857145,0.3898809523809524,0.10267857142857142,0.08173189199908376,0.1284358302842745,0.11395044288308816,0.2980179693498601,0.009313385290968325,0.038276185333082746,39,31
49,宿迁,京杭主通道,0.0635121911001289,0.0,0.9762723526935496,0.099354705680272,0.001848152406625,L49,京杭主通道,10326,4.1565142197688685,7.89,9.879097222222223,0.001936858415649816,88.92514042223513,196.0,0.0,0.06023629672670928,121.65553235908143,0.0,0.5915026058596135,0.3650978113499903,0.0778617083091226,0.5651752856866163,0.589386015882239,0.09723029246562076,0.04128292421508379,0.028580485995058007,0.17470491285071696,0.42115702231961893,0.007212329677218967,0.012036872378126201,40,38
51,刘山,京杭主通道,0.0552090206838482,0.0,0.720915867611346,0.0076240482936425,9.103355889206228e-05,L51,京杭主通道,3750,6.352805333333333,12.116944444444444,15.172222222222222,0.014933333333333333,39.3088,58.0,0.0,0.0,85.5441216662993,0.0,0.5320055953414776,0.352,0.1464,0.5077333333333334,0.492,0.15333333333333332,0.03588586344450133,0.02484405930773169,0.11874346400753558,0.4335578150800699,0.00426121173430148,0.010771336071179825,41,39
19,宝应,通扬—里下河网络,0.0675044510313591,0.1561137042829069,0.1080324043988069,0.2930259510738347,0.0041004696726435,L19,通扬—里下河网络,329,6.107325227963526,13.186111111111112,14.799388888888886,0.0060790273556231,2.1580547112462005,6.0,0.0,0.0,6.5,0.0,0.5001230279345781,0.40425531914893614,0.3951367781155015,0.48632218844984804,0.5075987841945289,0.0851063829787234,0.09851768966940083,0.1162395403197104,0.039850701972102325,0.4226916513774653,0.003925999089995356,0.04913348325309585,42,28
52,解台,京杭主通道,0.0,0.0,0.7020799645062186,5.576812503974483e-05,0.0,L52,京杭主通道,3480,7.139493374840358,14.38525,16.505277777777778,0.013505747126436781,26.955459770114942,46.0,0.0,0.0,59.74089068825911,0.0,0.559897828863346,0.3864942528735632,0.19827586206896552,0.5373563218390804,0.5612068965517242,0.17873563218390803,0.0,0.0,0.1136559069425549,0.5014645629596101,0.0,0.0,44,44
43,施桥,京杭主通道,0.0,0.0,0.9302179778695008,0.2960992226950293,0.0,L43,京杭主通道,8602,5.631259397039448,12.179361111111112,16.569402777777775,0.03406184608230644,120.94059521041618,165.0,0.0,0.01871657754010695,143.8805690510647,0.021157870262729597,0.2718678064045011,0.02708672401767031,0.003138804929086259,0.24273424784933736,0.21669379214136247,0.03940943966519414,0.0,0.0,0.20365051453338,0.13801893467965282,0.0,0.0,43,43
31,朱码,盐河—连申—出海网络,0.0,0.0,0.595607644885451,1.7986144852705267e-05,0.0,L31,盐河—连申—出海网络,2281,9.393701105752838,17.974166666666665,20.22277777777778,0.06313020604997809,27.900043840420867,48.0,0.0,0.0,44.78386763185108,0.0,0.5006463756804097,0.4147303814116616,0.25252082419991234,0.47873739587900044,0.5729943007452871,0.13459009206488382,0.0,0.0,0.13701539318369388,0.4763410136954481,0.0,0.0,45,45
20,运西,通扬—里下河网络,0.0,0.0,0.2019833842716469,0.0,0.0,L20,通扬—里下河网络,478,8.640278358902835,17.438000000000002,22.572749999999996,0.07322175732217573,5.937238493723849,12.0,0.0,0.0,45.58709677419355,0.0,0.3143654114365411,0.23221757322175732,0.18200836820083682,0.3138075313807531,0.38284518828451886,0.07322175732217573,0.0,0.0,0.10781645640650939,0.2683261186592155,0.0,0.0,46,46
